Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Agnieszka Małaszek,03,1,A,,,
Agnieszka Małaszek,03,2,A,,,
Agnieszka Małaszek,03,3,B,,,
Agnieszka Małaszek,03,4B,B,,,
Agnieszka Małaszek,03,5B,B,,,
Agnieszka Małaszek,03,6B,4,,,
Agnieszka Małaszek,03,7B,B 1,,LICZBA OSÓB PONIŻEJ 18 ROKU ŻYCIA 1 ,
Agnieszka Małaszek,03,8B,E,,,
Agnieszka Małaszek,03,9B,E,,,
Agnieszka Małaszek,03,10B,A,,Praca męża,
Agnieszka Małaszek,03,11B,A,,,
Agnieszka Małaszek,03,12B,H,,,
Agnieszka Małaszek,03,13B,"A,D,E",,,
Agnieszka Małaszek,03,14B,,,"Niska pensja, opieka nad niepełnosprawną Mamą, bezrobocie",
Agnieszka Małaszek,03,15B,E,,,
Agnieszka Małaszek,03,16B,,,Wszystko drożeje,
Agnieszka Małaszek,03,17B,A,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,B,,Ocena pozytywna,
Agnieszka Małaszek,03,17B,C,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,D,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,E,,Ocena pozytywna,
Agnieszka Małaszek,03,17B,F,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,G,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,H,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,I,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,J,,Ocena pozytywna,
Agnieszka Małaszek,03,17B,K,,Nie korzyształam/łem,
Agnieszka Małaszek,03,17B,L,,Nie korzyształam/łem,
Agnieszka Małaszek,03,18B,,,wygrać w totka,
Agnieszka Małaszek,03,19B,G,,nie znam,
Agnieszka Małaszek,03,19A,A,,,
Agnieszka Małaszek,03,20B,C, ,,
Agnieszka Małaszek,03,21B,,,Nie,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
