Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,08,1,A,,,
Alicja Małaszek,08,2,A,,,
Alicja Małaszek,08,3,A,,,
Alicja Małaszek,08,4A,B,,,
Alicja Małaszek,08,5A,B,,,
Alicja Małaszek,08,6A,A,,,
Alicja Małaszek,08,7A,A,,Orzeczenie o niepełnosprawności ,
Alicja Małaszek,08,8A,A,,1/2 etatu,
Alicja Małaszek,08,9A,A,,,
Alicja Małaszek,08,10A,H,,,
Alicja Małaszek,08,11A,"A,C,F",,,
Alicja Małaszek,08,12A,,,Ciężko wiązać koniec z końcem. Wszystko cały czas jest pod górkę,
Alicja Małaszek,08,13A,A,,,
Alicja Małaszek,08,14A,,,Brak renty,
Alicja Małaszek,08,15A,A,,Ocena negatywna,
Alicja Małaszek,08,15A,B,,Ocena pozytywna,
Alicja Małaszek,08,15A,C,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,D,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,E,,Ocena pozytywna,
Alicja Małaszek,08,15A,F,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,G,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,H,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,I,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,J,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,K,,Nie korzystałam/łem,
Alicja Małaszek,08,15A,L,,Nie korzystałam/łem,
Alicja Małaszek,08,16A,,,Lepiej płatna praca,
Alicja Małaszek,08,17A,D,,,
Alicja Małaszek,08,18A,C,,,
Alicja Małaszek,08,19A,F,,,
Alicja Małaszek,08,20A,,,"Nie, nic",
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
