Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,10,1,A,,,
Alicja Małaszek,10,2,A,,,
Alicja Małaszek,10,3,B,,,
Alicja Małaszek,10,4B,B,,,
Alicja Małaszek,10,5B,B,,,
Alicja Małaszek,10,6B,3,,,
Alicja Małaszek,10,7B,A,,,
Alicja Małaszek,10,8B,D,,,
Alicja Małaszek,10,9B,A,,,
Alicja Małaszek,10,10B,C,,,
Alicja Małaszek,10,11B,C,,,
Alicja Małaszek,10,12B,H,,,
Alicja Małaszek,10,13B,"A, J,K",,,
Alicja Małaszek,10,14B,,,"Mało pieniędzy, dzielone są finanse na najpotrzebniejsze zakupy. Wyjścia, urlopy, dodatkowe luksusy nie wchodzą w grę.",
Alicja Małaszek,10,15B,I,,,
Alicja Małaszek,10,16B,,,Wszystko szybko drożeje,
Alicja Małaszek,10,17B,A,,Ocena pozytywna,
Alicja Małaszek,10,17B,B,,Ocena pozytywna,
Alicja Małaszek,10,17B,C,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,D,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,E,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,F,,Ocena pozytywna,
Alicja Małaszek,10,17B,G,,Ocena pozytywna,
Alicja Małaszek,10,17B,H,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,I,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,J,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,K,,Nie korzyształam/łem,
Alicja Małaszek,10,17B,L,,Nie korzyształam/łem,
Alicja Małaszek,10,18B,,,Dodatkowe pieniądze,
Alicja Małaszek,10,19B,G,,"Wszystkie osoby, które potrzebują to korzystają",
Alicja Małaszek,10,19A,A,,,
Alicja Małaszek,10,20B,C,,,
Alicja Małaszek,10,21B,,,"Nie, nie chcę",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
