Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Agnieszka Małaszek,02,1,A,,,
Agnieszka Małaszek,02,2,A,,,
Agnieszka Małaszek,02,3,A,,,
Agnieszka Małaszek,02,4A,B,,,
Agnieszka Małaszek,02,5A,B,,,
Agnieszka Małaszek,02,6A,C,,,
Agnieszka Małaszek,02,7A,A,,Choroba męża jak jeszcze żył oraz własna choroba,
Agnieszka Małaszek,02,8A,D,,Renta rodzinna,
Agnieszka Małaszek,02,9A,B,,,
Agnieszka Małaszek,02,10A,I,,,
Agnieszka Małaszek,02,11A,"A,D,F",,,
Agnieszka Małaszek,02,12A,,,"Mniej kupuje produktów, których nie potrzeba",
Agnieszka Małaszek,02,13A,E,,,
Agnieszka Małaszek,02,14A,,,zbyt mała pomoc,
Agnieszka Małaszek,02,15A,A,,Ocena pozytywna,
Agnieszka Małaszek,02,15A,B,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,C,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,D,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,E,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,F,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,G,,Ocena pozytywna,
Agnieszka Małaszek,02,15A,H,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,I,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,J,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,K,,Nie korzyształam/łem,
Agnieszka Małaszek,02,15A,L,,Nie korzyształam/łem,
Agnieszka Małaszek,02,16A,,,Dodatkowa pomoc,
Agnieszka Małaszek,02,17A,F,,Nie,
Agnieszka Małaszek,02,18A,C,,,
Agnieszka Małaszek,02,19A,A,,,
Agnieszka Małaszek,02,20A,,,Nie ,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,AGNIESZKA MAŁASZEK,,,
