Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Alicja Małaszek,05,1,A,,,
Alicja Małaszek,05,2,A,,,
Alicja Małaszek,05,3,A,,,
Alicja Małaszek,05,4A,B,,,
Alicja Małaszek,05,5A,A,,,
Alicja Małaszek,05,6A,C,,,
Alicja Małaszek,05,7A,D,,,
Alicja Małaszek,05,8A,C,,,
Alicja Małaszek,05,9A,C,,,
Alicja Małaszek,05,10A,M,,,
Alicja Małaszek,05,11A,"A,C,D,F,J,K,H",,Rehabilitacja,
Alicja Małaszek,05,12A,,,Brak możliwości pomocy wnuczkom,
Alicja Małaszek,05,13A,"D,E",,,
Alicja Małaszek,05,14A,,,Kiepski stan zdrowia,
Alicja Małaszek,05,15A,A,,Trudno powiedzieć,
Alicja Małaszek,05,15A,B,,Ocena pozytywna,
Alicja Małaszek,05,15A,C,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,D,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,E,,Ocena pozytywna,
Alicja Małaszek,05,15A,F,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,G,,Ocena negatywna,
Alicja Małaszek,05,15A,H,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,I,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,J,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,K,,Nie korzystałam/łem,
Alicja Małaszek,05,15A,L,,Nie korzystałam/łem,
Alicja Małaszek,05,16A,,,"Zwiększenie funduszy na życie, wygrana w totka",
Alicja Małaszek,05,17A,G,,Nie znam,
Alicja Małaszek,05,18A,C,,,
Alicja Małaszek,05,19A,F,,,
Alicja Małaszek,05,20A,,,Nie chcę,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,ALICJA MAŁASZEK,,,
