Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Joanna Kasicka,15,1,A,,,
Joanna Kasicka,15,2,A,,,
Joanna Kasicka,15,3,A,,,
Joanna Kasicka,15,4A,B,,,
Joanna Kasicka,15,5A,B,,,
Joanna Kasicka,15,6A,B,,,
Joanna Kasicka,15,7A,A,,,
Joanna Kasicka,15,8A,E,,,
Joanna Kasicka,15,9A,A,,,
Joanna Kasicka,15,10A,M,,,
Joanna Kasicka,15,11A,ACEF,,,
Joanna Kasicka,15,12A,,,Brak możliwości zakupu wszystkich niezbędnych rzeczy.,
Joanna Kasicka,15,13A,AD,,,
Joanna Kasicka,15,14A,,,Stan mojego zdrowia jest przeszkodą nie poprawia się.,
Joanna Kasicka,15,15A,A,,Ocena pozytywna.,
Joanna Kasicka,15,15A,B,,Ocena pozytywna.,
Joanna Kasicka,15,15A,C,,Nie korzystałam.,
Joanna Kasicka,15,15A,D,,Nie korzystałam.,
Joanna Kasicka,15,15A,E,,Ocena pozytywna.,
Joanna Kasicka,15,15A,F,,Ocena negatywna.,
Joanna Kasicka,15,15A,G,,Ocena pozytywna.,
Joanna Kasicka,15,15A,H,,Ocena pozytywna.,
Joanna Kasicka,15,15A,I,,Nie korzystałam.,
Joanna Kasicka,15,15A,J,,Nie korzystałam.,
Joanna Kasicka,15,15A,K,,Nie korzystałam.,
Joanna Kasicka,15,15A,L,,Nie korzystałam.,
Joanna Kasicka,15,15A,M,,,
Joanna Kasicka,15,16A,,,Praca zdalna. Otrzymanie narzędzi do tej pracy.,
Joanna Kasicka,15,17A,D,Boją się oceny sąsiadów środowiska.,,
Joanna Kasicka,15,18A,C,,,
Joanna Kasicka,15,19A,A,,,
Joanna Kasicka,15,20A,,,Państwo powinno zwiększyć nakłady na pomoc obywatelom. ,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Joanna Kasicka,,,
