Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Joanna Kasicka,19,1,B,,,
Joanna Kasicka,19,2,A,,,
Joanna Kasicka,19,3,B,,,
Joanna Kasicka,19,4A,B,,,
Joanna Kasicka,19,5A,B,,,
Joanna Kasicka,19,6A,C,,,
Joanna Kasicka,19,7A,H,Wypadek samochodowy w którym pytany stracił rodzinę.,,
Joanna Kasicka,19,8A,D,,,
Joanna Kasicka,19,9A,B,,,
Joanna Kasicka,19,10A,K,,,
Joanna Kasicka,19,11A,ABCDG,,,
Joanna Kasicka,19,12A,,,Smutek i depresja.,
Joanna Kasicka,19,13A,AD,,,
Joanna Kasicka,19,14A,,,Nie pogodziłem się ze stratą najbliższych.,
Joanna Kasicka,19,15A,A,,Ocena negatywna.,
Joanna Kasicka,19,15A,B,,Trudno powiedzieć.,
Joanna Kasicka,19,15A,C,,Nie korzystałem.,
Joanna Kasicka,19,15A,D,,Nie korzystałem.,
Joanna Kasicka,19,15A,E,,Ocena pozytywna.,
Joanna Kasicka,19,15A,F,,Ocena negatywna.,
Joanna Kasicka,19,15A,G,,Ocena pozytywna.,
Joanna Kasicka,19,15A,H,,Nie korzystałem.,
Joanna Kasicka,19,15A,I,,Nie korzystałem.,
Joanna Kasicka,19,15A,J,,Nie korzystałem.,
Joanna Kasicka,19,15A,K,,Nie korzystałem.,
Joanna Kasicka,19,15A,L,,Nie korzystałem.,
Joanna Kasicka,19,15A,M,,,
Joanna Kasicka,19,16A,,,Podjęcie pracy po skutecznym wyleczeniu stanów lękowych.,
Joanna Kasicka,19,17A,D,,,
Joanna Kasicka,19,18A,C,,,
Joanna Kasicka,19,19A,A,,,
Joanna Kasicka,19,20A,,,Myślę że szkolenia z empatii dla pracowników socjalnych byłyby wskazane. Nie tylko ja spotkałem się z oceną negatywną zanim przedstawiłem swoją sytuację.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Joanna Kasicka,,,
