Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Joanna Kasicka,25,1,A,,,
Joanna Kasicka,25,2,A,,,
Joanna Kasicka,25,3,A,,,
Joanna Kasicka,25,4A,B,,,
Joanna Kasicka,25,5A,B,,,
Joanna Kasicka,25,6A,A,,,
Joanna Kasicka,25,7A,I,Osiągnięcie wieku emerytalnego,,
Joanna Kasicka,25,8A,C,,,
Joanna Kasicka,25,9A,C,,,
Joanna Kasicka,25,10A,L,,,
Joanna Kasicka,25,11A,AF,,,
Joanna Kasicka,25,12A,,,Podwyżka cen żywności i usług oraz lekarstw. Przez co nie mogę sobie pozwolić na zaspokojenie wszystkich potrzeb.,
Joanna Kasicka,25,13A,I,,,
Joanna Kasicka,25,14A,,,Nie podejmowałam żadnych działań ze względy na stan zdrowia.,
Joanna Kasicka,25,15A,A,,Nie korzystałam.,
Joanna Kasicka,25,15A,B,,Nie korzystałam.,
Joanna Kasicka,25,15A,C,,Nie korzystałam.,
Joanna Kasicka,25,15A,D,,Nie korzystałam.,
Joanna Kasicka,25,15A,E,Stowarzyszenie MAYDAY,Ocena pozytywna.,
Joanna Kasicka,25,15A,F,,Nie korzystałam.,
Joanna Kasicka,25,15A,G,,Ocena pozytywna.,
Joanna Kasicka,25,15A,H,,Nie korzystałam.,
Joanna Kasicka,25,15A,I,,Nie korzystałam.,
Joanna Kasicka,25,15A,J,,Ocena pozytywna.,
Joanna Kasicka,25,15A,K,,Nie korzystałam.,
Joanna Kasicka,25,15A,L,,Nie korzystałam.,
Joanna Kasicka,25,15A,M,,,
Joanna Kasicka,25,16A,,,Podwyżki emerytury do kwoty 2500 netto. Oraz pomoc żywnościowa BŻK.,
Joanna Kasicka,25,17A,G,,,
Joanna Kasicka,25,18A,C,,,
Joanna Kasicka,25,19A,A,,,
Joanna Kasicka,25,20A,,,Nagłośnienie skali  potrzebnej pomocy.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Joanna Kasicka,,,
