Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Joanna Kasicka,01,1,A,,,
Joanna Kasicka,01,2,A,,,
Joanna Kasicka,01,3,A,,,
Joanna Kasicka,01,4A,B,,,
Joanna Kasicka,01,5A,B,,Zasiłki z MOPS okresowy i celowy m.in. zakup żywności.,
Joanna Kasicka,01,6A,C,,,
Joanna Kasicka,01,7A,F,,,
Joanna Kasicka,01,8A,F,Odpowiedź jak w pytaniu 5,,
Joanna Kasicka,01,9A,A,,,
Joanna Kasicka,01,10A,M,,,
Joanna Kasicka,01,11A,AFJ,,,
Joanna Kasicka,01,12A,,,Wysokie ceny podstawowych produktów,
Joanna Kasicka,01,13A,A,,,
Joanna Kasicka,01,14A,,Wypadek śmiertelny członka rodziny,Nie możność pogodzenia się ze stratą bliskiej osoby.,
Joanna Kasicka,01,15A,A,,Ocena pozytywna.,
Joanna Kasicka,01,15A,B,,Ocena pozytywna.,
Joanna Kasicka,01,15A,C,,Nie korzystałam.,
Joanna Kasicka,01,15A,D,,Nie korzystałam.,
Joanna Kasicka,01,15A,E,,Ocena pozytywna.,
Joanna Kasicka,01,15A,F,,Ocena negatywna.,
Joanna Kasicka,01,15A,G,,Ocena pozytywna.,
Joanna Kasicka,01,15A,H,,Nie korzystałam.,
Joanna Kasicka,01,15A,I,,Nie korzystałam.,
Joanna Kasicka,01,15A,J,,Nie korzystałam.,
Joanna Kasicka,01,15A,K,,Nie korzystałam.,
Joanna Kasicka,01,15A,L,,Nie korzystałam.,
Joanna Kasicka,01,15A,M,,Nie korzystałam.,
Joanna Kasicka,01,16A,,,"Szkolenia, kursy podnoszące kwalifikacje zawodowe.",
Joanna Kasicka,01,17A,D,,,
Joanna Kasicka,01,18A,C,,,
Joanna Kasicka,01,19A,A,,,
Joanna Kasicka,01,20A,,,Zmniejszenie cen biletów komunikacji miejskiej.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Joanna Kasicka,,,
