Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Maria Dobrowolska  - Krzysztoforska ,1,1,A,,,
Maria Dobrowolska  - Krzysztoforska ,1,2,A,,,
Maria Dobrowolska  - Krzysztoforska ,1,3,A,,,
Maria Dobrowolska  - Krzysztoforska ,1,4A,B,,,
Maria Dobrowolska  - Krzysztoforska ,1,5A,B,,,
Maria Dobrowolska  - Krzysztoforska ,1,6A,B,,,
Maria Dobrowolska  - Krzysztoforska ,1,7A,C,,,
Maria Dobrowolska  - Krzysztoforska ,1,8A,D,,,
Maria Dobrowolska  - Krzysztoforska ,1,9A,B,,,
Maria Dobrowolska  - Krzysztoforska ,1,10A,R,,,
Maria Dobrowolska  - Krzysztoforska ,1,11A,M,,,
Maria Dobrowolska  - Krzysztoforska ,1,12A,,,"Najbardziej dotkliwym skutkiem sytuacji ekonomicznej, jest dla mnie to, że nie starcza mi na podstawowe potrzeby życiowe tj.: żywność, leki, opłaty, odzież, obuwie, przejazdy MPK, na bieliznę osobistą, wczasy na których nie byłam od 20-lat, oraz na kino, teatr, spotkania towarzyskie.",
Maria Dobrowolska  - Krzysztoforska ,1,13A,F,,,
Maria Dobrowolska  - Krzysztoforska ,1,14A,,,z powodów zdrowotnych oraz niepełnosprawności,
Maria Dobrowolska  - Krzysztoforska ,1,15A,A,,NEGATYWNA,
Maria Dobrowolska  - Krzysztoforska ,1,15A,B,,POZYTYWNA,
Maria Dobrowolska  - Krzysztoforska ,1,15A,C,,POZYTYWNA,
Maria Dobrowolska  - Krzysztoforska ,1,15A,D,,POZYTYWNA,
Maria Dobrowolska  - Krzysztoforska ,1,15A,E,,POZYTYWNA,
Maria Dobrowolska  - Krzysztoforska ,1,15A,F,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,15A,G,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,15A,H,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,15A,I,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,15A,J,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,15A,K,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,15A,L,,NIE KORZYSTAŁAM,
Maria Dobrowolska  - Krzysztoforska ,1,16A,,,"Pomoc od osób trzecich w związku z niepełnosprawnością, pomoc materialna od instytucji państwowych. Poprawa warunków mieszkaniowych, z uwagi na brak łazienki oraz ciepłej wody i kuchni. Zajmuję jedynie jedno pomieszczenie, w którym nie występują odrębne ww. pomieszczenia, a z uwagi na brak łazienki zmuszona jestem myć głowę w muszli WC, ponieważ jest to jedyne urządzenie, które odprowadza ścieki. ",
Maria Dobrowolska  - Krzysztoforska ,1,17A,C,,,
Maria Dobrowolska  - Krzysztoforska ,1,18A,C,,,
Maria Dobrowolska  - Krzysztoforska ,1,19A,A,,,
Maria Dobrowolska  - Krzysztoforska ,1,20A,,,"Poprawa dostępu do informacji i kontaktów z MOPS i UMK, a także innymi organami pozarządowymi, Gminnymi. Ponadto dostęp do administracji publicznej, gdyż strony nie są wpuszczane do środka pomimo niepełnosprawności petentów, jeśli jest kolejka to stoi się i czeka na zewnątrz.",
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Maria Dobrowolska  - Krzysztoforska ,,,
