Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Maria Dobrowolska  - Krzysztoforska ,13,1,B,,,
Maria Dobrowolska  - Krzysztoforska ,13,2,A,,,
Maria Dobrowolska  - Krzysztoforska ,13,3,A,,,
Maria Dobrowolska  - Krzysztoforska ,13,4A,B,,,
Maria Dobrowolska  - Krzysztoforska ,13,5A,A,,,
Maria Dobrowolska  - Krzysztoforska ,13,6A,A,,,
Maria Dobrowolska  - Krzysztoforska ,13,7A,F,,,
Maria Dobrowolska  - Krzysztoforska ,13,8A,A,,,
Maria Dobrowolska  - Krzysztoforska ,13,9A,A,,,
Maria Dobrowolska  - Krzysztoforska ,13,10A,M,,,
Maria Dobrowolska  - Krzysztoforska ,13,11A,M,,,
Maria Dobrowolska  - Krzysztoforska ,13,12A,,,"Najbardziej doskwiera mi brak stałej pracy, co skutkuje brakiem środków do zaspokojenia podstawowych celów życiowych ",
Maria Dobrowolska  - Krzysztoforska ,13,13A,"A, C, D, F",,,
Maria Dobrowolska  - Krzysztoforska ,13,14A,,,"nie posiadam odpowiednich kwalifikacji, które mogłyby budzić zainteresowanie pracodawców ",
Maria Dobrowolska  - Krzysztoforska ,13,15A,A,,POZYTYWNA ,
Maria Dobrowolska  - Krzysztoforska ,13,15A,B,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,C,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,D,,POZYTYWNA,
Maria Dobrowolska  - Krzysztoforska ,13,15A,E,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,F,,NEGATYWNA,
Maria Dobrowolska  - Krzysztoforska ,13,15A,G,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,H,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,I,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,J,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,K,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,15A,L,,NIE KORZYSTAŁEM,
Maria Dobrowolska  - Krzysztoforska ,13,16A,,,Podniesienie kwalifikacji zawodowych i uzyskanie stałej pracy ,
Maria Dobrowolska  - Krzysztoforska ,13,17A,D,,,
Maria Dobrowolska  - Krzysztoforska ,13,18A,B,,,
Maria Dobrowolska  - Krzysztoforska ,13,19A,B,,,
Maria Dobrowolska  - Krzysztoforska ,13,20A,,,"aby urzędnicy Urzędów Pracy bardziej wykazywali chęć pomocy w uzyskaniu zatrudnienia lub zmiany kwalifikacji zawodowych tak aby można było po ukończeniu kwalifikacji uzyskać zatrudnienie, ponieważ bez stażu po kursach nie uzyskuje się zatrudnienia  ",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Maria Dobrowolska  - Krzysztoforska ,,,
