Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Hanna Maciejewska,11,1,B,,,
Hanna Maciejewska,,2,A,,,
Hanna Maciejewska,,3,A,,,
Hanna Maciejewska,,4A,B,,,
Hanna Maciejewska,,5A,D,,,
Hanna Maciejewska,,6A,D,,,
Hanna Maciejewska,,7A,G,,,
Hanna Maciejewska,,8A,B,,,
Hanna Maciejewska,,9A,M-B,,,
Hanna Maciejewska,,10A,C,,,
Hanna Maciejewska,,11A,"J,K,L",,,
Hanna Maciejewska,,12A,,,Pomimo ciągłej pracy nie stać mnie na wakacje. Covid i ceny materiałów budowlanych wpłynęły na ilość zamówień w firmie.,
Hanna Maciejewska,,13A,B,,,
Hanna Maciejewska,,14A,,,"Ludzi nie stać na remonty, boją się wydawać oszczędności.",
Hanna Maciejewska,,15A,A,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,B,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,C,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,D,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,E,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,F,,Ocena pozytywna,
Hanna Maciejewska,,15A,G,,Ocena pozytywna,
Hanna Maciejewska,,15A,H,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,I,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,J,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,K,,Nie korzystałam/łem,
Hanna Maciejewska,,15A,L,,,
Hanna Maciejewska,,16A,,,"Stabilizacja gospodarcza, spadek inflacji i zakończenie wojny na Ukrainie",
Hanna Maciejewska,,17A,"A,B,C,D,E",,,
Hanna Maciejewska,,18A,B,,,
Hanna Maciejewska,,19A,A,,,
Hanna Maciejewska,,20A,,,"Inwestowanie w rozwój turystyki, prace interwencyjne, kredyty dla małych biznesów bez oprocentowania, ",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Hanna Maciejewska,,,
