Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Hanna Maciejewska,19,1,B,,,
Hanna Maciejewska,19,2,A,,,
Hanna Maciejewska,19,3,A,,,
Hanna Maciejewska,19,4A,B,,,
Hanna Maciejewska,19,5A,D,,,
Hanna Maciejewska,19,6A,B,,,
Hanna Maciejewska,19,7A,G,,,
Hanna Maciejewska,19,8A,A,,,
Hanna Maciejewska,19,9A,M-A,,,
Hanna Maciejewska,19,10A,R,,,
Hanna Maciejewska,19,11A,"J,K,L",,,
Hanna Maciejewska,19,12A,,,"Żyję w ciągłej obawie, że jeśli zachoruję to zabraknie mi pieniędzy na życie",
Hanna Maciejewska,19,13A,F,"Dużo się modlę, czuję bliskość i wsparcie Boga",,
Hanna Maciejewska,19,14A,,,Trzeba dać czas Bogu,
Hanna Maciejewska,19,15A,A,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,B,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,C,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,D,,Ocena pozytywna,
Hanna Maciejewska,19,15A,E,,Ocena pozytywna,
Hanna Maciejewska,19,15A,F,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,G,,Ocena pozytywna,
Hanna Maciejewska,19,15A,H,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,I,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,J,,Ocena pozytywna,
Hanna Maciejewska,19,15A,K,,Nie korzystałam/łem,
Hanna Maciejewska,19,15A,L,,,
Hanna Maciejewska,19,16A,,,Wyższe zarobki i niższe ceny najmu,
Hanna Maciejewska,19,17A,"A,B",,,
Hanna Maciejewska,19,18A,C,,,
Hanna Maciejewska,19,19A,G,od wiary i gorliwej modlitwy,,
Hanna Maciejewska,19,20A,,,Zaufajcie Jezusowi i Maryi,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Hanna Maciejewska,,,
