Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Hanna Maciejewska,17,1,B,,,
Hanna Maciejewska,17,2,A,,,
Hanna Maciejewska,17,3,A,,,
Hanna Maciejewska,17,4A,B,,,
Hanna Maciejewska,17,5A,D,,,
Hanna Maciejewska,17,6A,B,,,
Hanna Maciejewska,17,7A,G,,,
Hanna Maciejewska,17,8A,A,,,
Hanna Maciejewska,17,9A,M-A,,,
Hanna Maciejewska,17,10A,R,,,
Hanna Maciejewska,17,11A,"C,E,F,G,I,J,K,L",,,
Hanna Maciejewska,17,12A,,,Nie mam ani złotówki na przyjemności,
Hanna Maciejewska,17,13A,"A,D",,,
Hanna Maciejewska,17,14A,,,Mam zajęte wynagrodzenie,
Hanna Maciejewska,17,15A,A,,Ocena pozytywna,
Hanna Maciejewska,17,15A,B,,Nie korzystałam/łem,
Hanna Maciejewska,17,15A,C,,Nie korzystałam/łem,
Hanna Maciejewska,17,15A,D,,Nie korzystałam/łem,
Hanna Maciejewska,17,15A,E,,Ocena pozytywna,
Hanna Maciejewska,17,15A,F,,Ocena pozytywna,
Hanna Maciejewska,17,15A,G,,Ocena pozytywna,
Hanna Maciejewska,17,15A,H,,Nie korzystałam/łem,
Hanna Maciejewska,17,15A,I,,Nie korzystałam/łem,
Hanna Maciejewska,17,15A,J,,ocena negatywna,
Hanna Maciejewska,17,15A,K,,Nie korzystałam/łem,
Hanna Maciejewska,17,15A,L,,,
Hanna Maciejewska,17,16A,,,Spłata zadłużeń,
Hanna Maciejewska,17,17A,"A,B",,,
Hanna Maciejewska,17,18A,C,,,
Hanna Maciejewska,17,19A,F,,,
Hanna Maciejewska,17,20A,,,Potrzeba pomocy darmowych prawników ,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Hanna Maciejewska,,,
