Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Łucja Andrzejewska,15,1,B,,,
Łucja Andrzejewska,15,2,A,,,
Łucja Andrzejewska,15,3,B,,,
Łucja Andrzejewska,15,4B,B,,,
Łucja Andrzejewska,15,5B,D,,,
Łucja Andrzejewska,15,6B,A,1,,
Łucja Andrzejewska,15,7B,A,,,
Łucja Andrzejewska,15,8B,D,,,
Łucja Andrzejewska,15,9B,D,,,
Łucja Andrzejewska,15,10B,C,,,
Łucja Andrzejewska,15,11B,C,,,
Łucja Andrzejewska,15,12B,C,,,
Łucja Andrzejewska,15,13B,E,,,
Łucja Andrzejewska,15,13B,J,,,
Łucja Andrzejewska,15,13B,K,,,
Łucja Andrzejewska,15,13B,O,,REMONT MIESZKANIA,
Łucja Andrzejewska,15,14B,,,"ZUBOŻENNIE, POGORSZENIE SIĘ STANU ZDROWIA, LĘK O PRZYSZŁOŚĆ",
Łucja Andrzejewska,15,15B,I,,NIE BO JESTEM SŁABY I SCHOROWANY,
Łucja Andrzejewska,15,16B,,,"BO WSZYSTKO JEST DROGIE, A EMERYTURA ZBYT NISKA",
Łucja Andrzejewska,15,17B,A,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,B,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,C,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,D,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,E,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,F,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,G,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,H,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,I,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,J,pomoc finansowa od matki,OCENA POZYTYWNA,
Łucja Andrzejewska,15,17B,K,,nie korzystałam/łem,
Łucja Andrzejewska,15,17B,L,,nie korzystałam/łem,
Łucja Andrzejewska,15,18B,,,"wyższa emerytura, poprawa zdrowia, lepsza opieka",
Łucja Andrzejewska,15,19B,G,,"nie znam osoby, która miałaby gorzej niż ja",
Łucja Andrzejewska,15,19A,A,,,
Łucja Andrzejewska,15,20B,C,,,
Łucja Andrzejewska,15,21B,,,Młodzi powinni iść do pracy i wspierać starych rodziców.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Łucja Andrzejewska,,,
