Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Łucja Andrzejewska,16,1,B,,,
Łucja Andrzejewska,16,2,A,,,
Łucja Andrzejewska,16,3,B,,,
Łucja Andrzejewska,16,4B,B,,,
Łucja Andrzejewska,16,5B,D,,,
Łucja Andrzejewska,16,6B,A,1,,
Łucja Andrzejewska,16,7B,A,,,
Łucja Andrzejewska,16,8B,D,,,
Łucja Andrzejewska,16,9B,D,,,
Łucja Andrzejewska,16,10B,C,,,
Łucja Andrzejewska,16,11B,C,,,
Łucja Andrzejewska,16,12B,R,,,
Łucja Andrzejewska,16,13B,F,,,
Łucja Andrzejewska,16,13B,J,,,
Łucja Andrzejewska,16,13B,K,,,
Łucja Andrzejewska,16,13B,O,,"ROZRYWKA, KLUBY, DANSINGI, WYJAZDY DO SANATORIUM",
Łucja Andrzejewska,16,14B,,,"BRAK ŻYCIA TOWARZYSKIEGO, POGORSZONE ZDROWIE",
Łucja Andrzejewska,16,15B,A,,,
Łucja Andrzejewska,16,15B,D,,,
Łucja Andrzejewska,16,15B,H,ZAROBKOWE WYJAZDY ZA GRANICĘ,,
Łucja Andrzejewska,16,16B,,,"BO PRACE BYŁY DORYWCZE. OSZCZĘDNOŚCI, KTÓRE MIAŁEM WYDAŁEM NA RATOWNAIE ZDROWIA, REMONT DOMU. PRZEZ WIELE LAT UTRZYMYWAŁEM ŚMIERTELNNIE CHOREGO PASIERBA, KTÓREGO MATKA, A MOJA ŻONA ZMARŁA PRZED LATY. Mam niską emeryturę.",
Łucja Andrzejewska,16,17B,A,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,B,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,C,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,D,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,E,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,F,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,G,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,H,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,I,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,J,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,K,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,L,,nie korzystałam/łem,
Łucja Andrzejewska,16,17B,M,,WOLAŁBYM DORABIAĆ NA CZARNO NIŻ IŚĆ PO PROŚBIE DO URZĘDU,
Łucja Andrzejewska,16,18B,,,PODWYŻKA EMERYTURY LUB MNIEJSZE CENY ŻYWNBOŚCI I MEDIÓW,
Łucja Andrzejewska,16,19B,D,,,
Łucja Andrzejewska,16,19A,A,,,
Łucja Andrzejewska,16,20B,C,,,
Łucja Andrzejewska,16,21B,,,NIE,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Łucja Andrzejewska,,,
