Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Łucja Andrzejewska,10,1,B,,,
Łucja Andrzejewska,10,2,A,,,
Łucja Andrzejewska,10,3,A,,,
Łucja Andrzejewska,10,4A,B,,,
Łucja Andrzejewska,10,5A,B,,,
Łucja Andrzejewska,10,6A,C,,,
Łucja Andrzejewska,10,7A,C,,,
Łucja Andrzejewska,10,8A,D,,,
Łucja Andrzejewska,10,9A,C,,,
Łucja Andrzejewska,10,10A,A,,,
Łucja Andrzejewska,10,11A,D,,,
Łucja Andrzejewska,10,11A,M,po zapłaceniu czynszu nie mam już na nic,,
Łucja Andrzejewska,10,12A,,,poczucie niesprawiedliwości,
Łucja Andrzejewska,10,13A,E,,,
Łucja Andrzejewska,10,13A,H,,proces sądowy przeciwko ZUS o uznanie podstawy do emerytury,
Łucja Andrzejewska,10,14A,,,bo moja sprawa ciągle jest odkładana,
Łucja Andrzejewska,10,15A,A,,ocena negatywna,
Łucja Andrzejewska,10,15A,B,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,C,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,D,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,E,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,F,,ocena negatywna,
Łucja Andrzejewska,10,15A,G,,trudno powiedzieć,
Łucja Andrzejewska,10,15A,H,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,I,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,J,,ocena pozytywna,
Łucja Andrzejewska,10,15A,K,,nie korzystałam/łem,
Łucja Andrzejewska,10,15A,L,,nie korzystałam/łem,
Łucja Andrzejewska,10,16A,,,uregulowanie sprawy mojej emerytury,
Łucja Andrzejewska,10,17A,G,,NIE WIEM,
Łucja Andrzejewska,10,18A,C,,,
Łucja Andrzejewska,10,19A,A,,,
Łucja Andrzejewska,10,19A,B,,,
Łucja Andrzejewska,10,20A,,,Nie niszczcie dokumentów.,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Łucja Andrzejewska,,,
