Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Łucja Andrzejewska,01,1,A,,,
Łucja Andrzejewska,01,2,A,,,
Łucja Andrzejewska,01,3,B,,,
Łucja Andrzejewska,01,4B,B,,,
Łucja Andrzejewska,01,5B,B,,,
Łucja Andrzejewska,01,6B,A,3,,
Łucja Andrzejewska,01,7B,B,2,,
Łucja Andrzejewska,01,8B,B,,,
Łucja Andrzejewska,01,9B,H,wzrost kosztów życia,,
Łucja Andrzejewska,01,10B,A,,,
Łucja Andrzejewska,01,11B,A,,,
Łucja Andrzejewska,01,12B,C,,,
Łucja Andrzejewska,01,13B,F,,,
Łucja Andrzejewska,01,13B,I,,,
Łucja Andrzejewska,01,13B,J,,,
Łucja Andrzejewska,01,13B,L,,,
Łucja Andrzejewska,01,13B,O,,"brakuje na zajęcia wspomagające rozwój dzieci, np. terapia, logopeda, itp..",
Łucja Andrzejewska,01,14B,,,"pogorszenie relacji małżeńskiej, brak odpoczynku (nie ma czasu i funduszy), dzieci spędzają lato w mieście.",
Łucja Andrzejewska,01,15B,A,,,
Łucja Andrzejewska,01,15B,G,,,
Łucja Andrzejewska,01,16B,,,Bo dodaTkowe prace są krótkotrwałe i okazjonalne.,
Łucja Andrzejewska,01,17B,A,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,B,,trudno powiedzieć,
Łucja Andrzejewska,01,17B,C,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,D,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,E,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,F,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,G,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,H,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,I,,nie korzystałam/łem,
Łucja Andrzejewska,01,17B,J,,ocena pozytywna,
Łucja Andrzejewska,01,17B,K,,nie korzystałam/łem,
Łucja Andrzejewska,01,18B,,,"Wzrost wynagrodzenia za pracę, żeby nie trzeba było łapać dodatkowych zleceń i mieć więcej czasu dla rodziny.",
Łucja Andrzejewska,01,19B,G,,"Nie znam, albo nie wiem, że jest w takiej sytuacji.",
Łucja Andrzejewska,01,19A,A,,,
Łucja Andrzejewska,01,20B,A,,,
Łucja Andrzejewska,01,21B,,,NIE,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Łucja Andrzejewska,,,
