Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Grażyna Konieczna,25,1,a,,,
Grażyna Konieczna,25,2,a,,,
Grażyna Konieczna,25,3,b,,,
Grażyna Konieczna,25,4B,b,,,
Grażyna Konieczna,25,5B,a,,,
Grażyna Konieczna,25,6B,a,1,,
Grażyna Konieczna,25,7B,a, ,,
Grażyna Konieczna,25,8B,e,,,
Grażyna Konieczna,25,9B,a,,,
Grażyna Konieczna,25,10B,f,    ,,
Grażyna Konieczna,25,11B,b,,,
Grażyna Konieczna,25,12B,j, ,   ,
Grażyna Konieczna,25,13B,m,,,
Grażyna Konieczna,25,14B,,,Poczucie osamotnienia i bezradności. Córka jest upośledzona umysłowo i nie mogę jej zostawić samej.,
Grażyna Konieczna,25,15B,i,,,
Grażyna Konieczna,25,16B,,,Nie mam siły na szukanie pomocy,
Grażyna Konieczna,25,17B,k,ocena pozytywna,,
Grażyna Konieczna,25,18B,,    ,"Może obniżenie cen prądu. Wszyscy straszą, że będzie coraz drożej a idzie zima. My niemieszkamy w bloku. Musimy ogrzać dom same.",
Grażyna Konieczna,25,19B,e,,,
Grażyna Konieczna,25,20B,b,,,
Grażyna Konieczna,25,21B,, ,Mieszkam na odludziu i sama sobie nie umiem pomóc a co dopiero innym,
,,,,,,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Grażyna Konieczna,,,
