Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Grażyna Konieczna,28,1,A,,,
Grażyna Konieczna,28,2,A,,,
Grażyna Konieczna,28,3,B,,,
Grażyna Konieczna,28,4B,B,,,
Grażyna Konieczna,28,5B,B,,,
Grażyna Konieczna,28,6B,A1,,,
Grażyna Konieczna,28,7B,A,,,
Grażyna Konieczna,28,8B,A,,,
Grażyna Konieczna,28,9B,A,,,
Grażyna Konieczna,28,10B,A,,,
Grażyna Konieczna,28,11B,A,,,
Grażyna Konieczna,28,12B,A,,,
Grażyna Konieczna,28,13B,A F J,,,
Grażyna Konieczna,28,14B,,,Brak pieniędzy na rehabilitację i  dziecka po wypadku,
Grażyna Konieczna,28,15B,G,,,
Grażyna Konieczna,28,16B,,,Nie mam siły na dodatkową pracę. Zajmuję się obłożnie chorym dzieckiem.,
Grażyna Konieczna,28,17B,J K,Ocena pozytywna,,
Grażyna Konieczna,28,18B,,,Zainteresowanie i pomoc w opiece i rehabilitacji dziecka,
Grażyna Konieczna,28,19B,G,Nie znam,,
Grażyna Konieczna,28,20B,A,,,
Grażyna Konieczna,28,21B,,,Zauważanie problemów innych ludzi,
Imię i nazwisko osoby wprowadzającej dane:,,,Grażyna Konieczna,,,
