Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Grażyna Konieczna,24,1,A,,,
Grażyna Konieczna,24,2,A,,,
Grażyna Konieczna,24,3,B,,,
Grażyna Konieczna,24,4B,B,,,
Grażyna Konieczna,24,5B,A,,,
Grażyna Konieczna,24,6B,A,3,,
Grażyna Konieczna,24,7B,A,,,
Grażyna Konieczna,24,8B,E,,,
Grażyna Konieczna,24,9B,G,,,
Grażyna Konieczna,24,10B,F,,,
Grażyna Konieczna,24,11B,B,,,
Grażyna Konieczna,24,12B,C,,,
Grażyna Konieczna,24,13B,M,,,
Grażyna Konieczna,24,14B,,,Brak pieniędzy na wszystko.,
Grażyna Konieczna,24,15B,I,,,
Grażyna Konieczna,24,16B,,,Nie podejmowali,
Grażyna Konieczna,24,17B,M,Czasem ktoś coś przyniesie,,
Grażyna Konieczna,24,18B,,,Wyższe zasiłki,
Grażyna Konieczna,24,19B,G,Nie znam,,
Grażyna Konieczna,24,20B,C,,,
Grażyna Konieczna,24,21B,,,Nie wiem,
Imię i nazwisko osoby wprowadzającej dane:,,,Grażyna Konieczna,,,
