Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Grażyna Konieczna,4,1,b,,,
Grażyna Konieczna,4,2,a,,,
Grażyna Konieczna,4,3,a,,,
Grażyna Konieczna,4,4,b,,,
Grażyna Konieczna,4,5,a,,,
Grażyna Konieczna,4,6,a,,,
Grażyna Konieczna,4,7,a,,choroba,
Grażyna Konieczna,4,8,f,,,
Grażyna Konieczna,4,9,b,,,
Grażyna Konieczna,4,10,a,,,
Grażyna Konieczna,4,11,m,,,
Grażyna Konieczna,4,12,,, Brak środków na leczenie i rehabilitacje. Nie mogę wrócić do pracy przez to.,
Grażyna Konieczna,4,13,"e, f",,,
Grażyna Konieczna,4,14,,,Wsparcie jest niewspółmnirnie małe do moich potrzeb,
Grażyna Konieczna,4,15,"a,e,g, m",Ocena pozytywna,"Gdyby nie przyjaciele, to nie dałbym rady wyżyć, a nie mam nałogów.",
Grażyna Konieczna,4,16,,,Zwiekszenie wsarcia ze strony państwa,
Grażyna Konieczna,4,17,c,,,
Grażyna Konieczna,4,18,a,,,
Grażyna Konieczna,4,19,a,,,
Grażyna Konieczna,4,20,,,"Osoby kalekie są wykluczane z rynku pracy, a instytucje np. MOPS dają 380 zł zasiłku. Po 15 latach pracy. To jest wstyd dla Polski jako państwa. Trzeba o tym mówić głośno.",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Grażyna Konieczna,,,
