Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Magdalena Czarnik-Zębala,01,1,B,,,
Magdalena Czarnik-Zębala,01,2,A,,,
Magdalena Czarnik-Zębala,01,3,A,,,
Magdalena Czarnik-Zębala,01,4A,A,,,
Magdalena Czarnik-Zębala,01,5A,C,,,
Magdalena Czarnik-Zębala,01,6A,E,,,
Magdalena Czarnik-Zębala,01,7A,D,,,
Magdalena Czarnik-Zębala,01,8A,C,,,
Magdalena Czarnik-Zębala,01,9A,A,MĘŻCZYZNA,,
Magdalena Czarnik-Zębala,01,10A,J,,,
Magdalena Czarnik-Zębala,01,11A,K,,,
Magdalena Czarnik-Zębala,01,12A,,,Przez zajęcie komornicze-brakuje nawszystko.,
Magdalena Czarnik-Zębala,01,13A,H,,,
Magdalena Czarnik-Zębala,01,14A,,,Nadal mam zajęcie komornicze,
Magdalena Czarnik-Zębala,01,15A,A,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,B,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,C,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,D,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,E,,Ocena pozytywna,
Magdalena Czarnik-Zębala,01,15A,F,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,G,,Ocena pozytywna,
Magdalena Czarnik-Zębala,01,15A,H,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,I,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,J,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,K,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,15A,L,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,01,16A,,,Dodatkowa praca,
Magdalena Czarnik-Zębala,01,17A,G,,,
Magdalena Czarnik-Zębala,01,18A,C,,,
Magdalena Czarnik-Zębala,01,19A,F,,,
Magdalena Czarnik-Zębala,01,20A,,,"Samemu trudno sobie pomóc, a co dopiero innym",
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Magdalena Czarnik-Zębala,,,
