Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Magdalena Czarnik-Zębala,03,1,B,,,
Magdalena Czarnik-Zębala,03,2,A,,,
Magdalena Czarnik-Zębala,03,3,A,,,
Magdalena Czarnik-Zębala,03,4A,B,,,
Magdalena Czarnik-Zębala,03,5A,A,,,
Magdalena Czarnik-Zębala,03,6A,B,,,
Magdalena Czarnik-Zębala,03,7A,A,,,
Magdalena Czarnik-Zębala,03,7A,C,,,
Magdalena Czarnik-Zębala,03,7A,G,,,
Magdalena Czarnik-Zębala,03,8A,F,,,
Magdalena Czarnik-Zębala,03,9A,B,MĘŻCZYZNA,,
Magdalena Czarnik-Zębala,03,10A,J,,,
Magdalena Czarnik-Zębala,03,11A,C,,,
Magdalena Czarnik-Zębala,03,11A,D,,,
Magdalena Czarnik-Zębala,03,11A,E,,,
Magdalena Czarnik-Zębala,03,11A,J,,,
Magdalena Czarnik-Zębala,03,11A,K,,,
Magdalena Czarnik-Zębala,03,12A,,,Zmarnowałem sobie życie-największy skutek wszystkiego,
Magdalena Czarnik-Zębala,03,13A,D,,,
Magdalena Czarnik-Zębala,03,13A,E,,,
Magdalena Czarnik-Zębala,03,13A,G,,,
Magdalena Czarnik-Zębala,03,14A,,,Trudno cofnąć czas by nie być tak chorym i zdanym na innych,
Magdalena Czarnik-Zębala,03,15A,A,,Ocena pozytywna,
Magdalena Czarnik-Zębala,03,15A,B,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,15A,C,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,15A,D,,Ocena pozytywna,
Magdalena Czarnik-Zębala,03,15A,E,,Ocena pozytywna,
Magdalena Czarnik-Zębala,03,15A,F,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,15A,G,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,15A,H,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,15A,I,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,15A,J,,Ocena pozytywna,
Magdalena Czarnik-Zębala,03,15A,K,,Ocena pozytywna,
Magdalena Czarnik-Zębala,03,15A,L,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,03,16A,,,Gdybym mógł cofnąć czas…,
Magdalena Czarnik-Zębala,03,17A,F,,Nie zanam takich,
Magdalena Czarnik-Zębala,03,18A,C,,,
Magdalena Czarnik-Zębala,03,19A,C,,,
Magdalena Czarnik-Zębala,03,20A,,,"Samemu trudno sobie pomóc, a co dopiero innym",
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Magdalena Czarnik-Zębala,,,
