Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Magdalena Czarnik-Zębala,08,1,B,,,
Magdalena Czarnik-Zębala,08,2,A,,,
Magdalena Czarnik-Zębala,08,3,A,,,
Magdalena Czarnik-Zębala,08,4A,A,,,
Magdalena Czarnik-Zębala,08,5A,A,,,
Magdalena Czarnik-Zębala,08,6A,B,,,
Magdalena Czarnik-Zębala,08,7A,G,,,
Magdalena Czarnik-Zębala,08,7A,H,Zakład Karny,,
Magdalena Czarnik-Zębala,08,8A,F,,,
Magdalena Czarnik-Zębala,08,9A,A,MĘŻCZYZNA,,
Magdalena Czarnik-Zębala,08,10A,J,,,
Magdalena Czarnik-Zębala,08,11A,A,,,
Magdalena Czarnik-Zębala,08,11A,B,,,
Magdalena Czarnik-Zębala,08,11A,C,,,
Magdalena Czarnik-Zębala,08,11A,D,,,
Magdalena Czarnik-Zębala,08,11A,E,,,
Magdalena Czarnik-Zębala,08,11A,K,,,
Magdalena Czarnik-Zębala,08,12A,,,Brakuje na wszystko-na nic mnie nie stać,
Magdalena Czarnik-Zębala,08,13A,A,,,
Magdalena Czarnik-Zębala,08,13A,D,,,
Magdalena Czarnik-Zębala,08,14A,,,Jestem po ZK-jestem dość nerwowy i chyba to mnie odsuwa od pracodawców,
Magdalena Czarnik-Zębala,08,15A,A,,Ocena negatywna,
Magdalena Czarnik-Zębala,08,15A,B,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,08,15A,C,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,08,15A,D,,Ocena negatywna,
Magdalena Czarnik-Zębala,08,15A,E,,Ocena negatywna,
Magdalena Czarnik-Zębala,08,15A,F,,Ocena negatywna,
Magdalena Czarnik-Zębala,08,15A,G,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,08,15A,H,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,08,15A,I,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,08,15A,J,,Trudno powiedzieć,
Magdalena Czarnik-Zębala,08,15A,K,,Ocena pozytywna,
Magdalena Czarnik-Zębala,08,15A,L,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,08,16A,,,Gdyby ludzie byli inni i zrozumieli że to że siedziałem w ZK nie oznacza że jestem zły!,
Magdalena Czarnik-Zębala,08,17A,F,nie potrzebują łaski,,
Magdalena Czarnik-Zębala,08,18A,C,,,
Magdalena Czarnik-Zębala,08,19A,A,,,
Magdalena Czarnik-Zębala,08,20A,,,Nie interesują mnie inni,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Magdalena Czarnik-Zębala,,,
