Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Magdalena Czarnik-Zębala,13,1,B,,,
Magdalena Czarnik-Zębala,13,2,A,,,
Magdalena Czarnik-Zębala,13,3,A,,,
Magdalena Czarnik-Zębala,13,4A,B,,,
Magdalena Czarnik-Zębala,13,5A,A,czekam na naliczenie emerytury,,
Magdalena Czarnik-Zębala,13,6A,B,,,
Magdalena Czarnik-Zębala,13,7A,A,,,
Magdalena Czarnik-Zębala,13,7A,G,,,
Magdalena Czarnik-Zębala,13,8A,F,,,
Magdalena Czarnik-Zębala,13,9A,C,MĘŻCZYZNA,,
Magdalena Czarnik-Zębala,13,10A,J,,,
Magdalena Czarnik-Zębala,13,11A,D,,,
Magdalena Czarnik-Zębala,13,11A,E,,,
Magdalena Czarnik-Zębala,13,11A,F,,,
Magdalena Czarnik-Zębala,13,11A,K,,,
Magdalena Czarnik-Zębala,13,12A,,,Że nie mogę mieszkać i żyć w pojedynkę-tylko tutaj,
Magdalena Czarnik-Zębala,13,13A,J,złozyłem dokumenty do ZUS-u i czekam na emeryture,,
Magdalena Czarnik-Zębala,13,14A,,,Musiałem mieć wiek emerytalny aby dostac co mi się należy,
Magdalena Czarnik-Zębala,13,15A,A,,Ocena pozytywna,
Magdalena Czarnik-Zębala,13,15A,B,,Ocena pozytywna,
Magdalena Czarnik-Zębala,13,15A,C,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,13,15A,D,,Ocena pozytywna,
Magdalena Czarnik-Zębala,13,15A,E,,Ocena pozytywna,
Magdalena Czarnik-Zębala,13,15A,F,,Ocena pozytywna,
Magdalena Czarnik-Zębala,13,15A,G,,Ocena pozytywna,
Magdalena Czarnik-Zębala,13,15A,H,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,13,15A,I,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,13,15A,J,,Trudno powiedzieć,
Magdalena Czarnik-Zębala,13,15A,K,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,13,15A,L,,Nie korzystałam/łem,
Magdalena Czarnik-Zębala,13,16A,,,Jak będę mieć swój dochód- pójde na swoje,
Magdalena Czarnik-Zębala,13,17A,G,znam takie osoby które korzystają ze wszystkiego czego mogą,,
Magdalena Czarnik-Zębala,13,18A,C,,,
Magdalena Czarnik-Zębala,13,19A,F,,,
Magdalena Czarnik-Zębala,13,20A,,,Aby raczej liczyli na siebie- nie na innych,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Magdalena Czarnik-Zębala,,,
