Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Danuta Jabłonowska ,3,1,B,,,
Danuta Jabłonowska ,3,2,A,,,
Danuta Jabłonowska ,3,3,A,,,
Danuta Jabłonowska ,3,4A,B,,,
Danuta Jabłonowska ,3,5A,A,,,
Danuta Jabłonowska ,3,6A,B,,,
Danuta Jabłonowska ,3,7A,A,,,
Danuta Jabłonowska ,3,8A,F,,,
Danuta Jabłonowska ,3,9A,B,,,
Danuta Jabłonowska ,3,10A,R,,,
Danuta Jabłonowska ,3,11A,M,,,
Danuta Jabłonowska ,3,12A,,,"Brak mieszkania stanowi dla mnie najbardziej dotkliwy skutek sytuacji ekonomicznej, ponieważ środki, którymi dysponuję nie wystarczają na wynajem na wolnym rynku, tym bardziej, że jestem osoba schorowaną i nie mogę uzyskać dobrze płatnej pracy, a co za tym idzie brakuje mi na podstawowe potrzeby życiowe.",
Danuta Jabłonowska ,3,13A,D,,,
Danuta Jabłonowska ,3,14A,,,"Nie jestem w pełni wyleczony i nie mogę podjąć zatrudnienia fizycznie, które pozwoliłoby mi na leprze zarobkowanie. ",
Danuta Jabłonowska ,3,15A,A,,POZYTYWNA,
Danuta Jabłonowska ,3,15A,B,,POZYTYWNA,
Danuta Jabłonowska ,3,15A,C,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,3,15A,D,,POZYTYWNA,
Danuta Jabłonowska ,3,15A,E,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,3,15A,F,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,3,15A,G,,POZYTYWNA,
Danuta Jabłonowska ,3,15A,H,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,3,15A,I,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,3,15A,J,,POZYTYWNA ,
Danuta Jabłonowska ,3,15A,H,,NEGATYWNA,
Danuta Jabłonowska ,3,15A,L,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,3,16A,,,Wyleczenie przewlekłej choroby słuchu i otrzymanie stałej pracy,
Danuta Jabłonowska ,3,17A,F,ALKOHOLIZM,,
Danuta Jabłonowska ,3,18A,C,,,
Danuta Jabłonowska ,3,19A,F,,,
Danuta Jabłonowska ,3,20A,,,"Łatwiejszy dostęp do lekarzy specjalistów, tańsze leki i możliwość otrzymania mieszkania komunalnego.",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Danuta Jabłonowska ,,,
