Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Danuta Jabłonowska ,5,1,B,,,
Danuta Jabłonowska ,5,2,A,,,
Danuta Jabłonowska ,5,3,A,,,
Danuta Jabłonowska ,5,4A,B,,,
Danuta Jabłonowska ,5,5A,A,,,
Danuta Jabłonowska ,5,6A,A,,,
Danuta Jabłonowska ,5,7A,A,,,
Danuta Jabłonowska ,5,8A,H,,,
Danuta Jabłonowska ,5,9A,A,,,
Danuta Jabłonowska ,5,10A,S,BRAK MESZKANIA,,
Danuta Jabłonowska ,5,11A,M,,,
Danuta Jabłonowska ,5,12A,,,"nie mam mieszkania, a problemy zdrowotne nie pozwalają mi na zatrudnienie ",
Danuta Jabłonowska ,5,13A,"D,E",,,
Danuta Jabłonowska ,5,14A,,,"Bo nie mogę podjąć pracy, gdyż nie pozwala mi na to zdrowie ",
Danuta Jabłonowska ,5,15 A,A,,POZYTYWNA,
Danuta Jabłonowska ,5,15 A,B,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,C,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,D,,POZYTYWNA,
Danuta Jabłonowska ,5,15 A,E,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,F,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,G,,POZYTYWNA,
Danuta Jabłonowska ,5,15 A,H,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,I,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,J,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,K,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,15 A,L,,NIE KORZYSTAŁEM,
Danuta Jabłonowska ,5,16 A,,,"Znalezienie pracy, poprawa zdrowia i uzyskanie mieszkania ",
Danuta Jabłonowska ,5,17 A,D,,,
Danuta Jabłonowska ,5,18 A,C,,,
Danuta Jabłonowska ,5,19 A,F,,,
Danuta Jabłonowska ,5,20 A,,,"w Krakowie jest bardzo dużo osób bezdomnych będących w trudnej sytuacji, a mało jest jednak adekwatnej pomocy, tym bardziej, że sprawy ludzkie choć podobne do siebie, to okoliczności zawsze się równią. Przepisy nie są dostosowane do indywidualnych sytuacji ludzkich. Sam pomagam osobom niepełnosprawnym.",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Danuta Jabłonowska ,,,
