Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Danuta Jabłonowska ,4,1,A,,,
Danuta Jabłonowska ,4,2,A,,,
Danuta Jabłonowska ,4,3,A,,,
Danuta Jabłonowska ,4,4A,B,,,
Danuta Jabłonowska ,4,5A,B,,,
Danuta Jabłonowska ,4,6A,E,,,
Danuta Jabłonowska ,4,7A,C,,,
Danuta Jabłonowska ,4,8A,C,,,
Danuta Jabłonowska ,4,9A,C,,,
Danuta Jabłonowska ,4,10A,C,,,
Danuta Jabłonowska ,4,11A,M,,,
Danuta Jabłonowska ,4,12A,,,brakuje mi środków na podstawowe potrzeby życiowe ,
Danuta Jabłonowska ,4,13A,"E,F",,,
Danuta Jabłonowska ,4,14 A,,,"Zdrowie i wiek nie pozwalają mi na pracę, a otrzymane dochody z emerytury nie pozwalają na godne życie ",
Danuta Jabłonowska ,4,15 A,A,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,B,,POZYTYWNA ,
Danuta Jabłonowska ,4,15 A,C,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,D,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,E,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,F,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,G,,POZYTYWNA ,
Danuta Jabłonowska ,4,15 A,H,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,I,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,J,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,K,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,15 A,L,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,4,16A,,,Większe wsparcie instytucji do tego powołanych ,
Danuta Jabłonowska ,4,17A,D,,,
Danuta Jabłonowska ,4,18A,B,,,
Danuta Jabłonowska ,4,19A,D,,,
Danuta Jabłonowska ,4,20A,,,"zwiększenie emerytury, aby starczyło na normalne życie i niebyło konieczności szukania pomocy w instytucjach pomocowych ",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Danuta Jabłonowska ,,,
