Imię i nazwisko osoby przeprowadzającej wywiady,Nr osoby pytanej,Nr pytania,Nr odpowiedzi,Komentarz,Odpowiedź opisowa,Uwagi
Danuta Jabłonowska ,16A,1,A,,,
Danuta Jabłonowska ,16A,2,A,,,
Danuta Jabłonowska ,16A,3,A,,,
Danuta Jabłonowska ,16A,4A,B,,,
Danuta Jabłonowska ,16A,5A,B,,,
Danuta Jabłonowska ,16A,6A,B,,,
Danuta Jabłonowska ,16A,7A,A,,,
Danuta Jabłonowska ,16A,8A,D,,,
Danuta Jabłonowska ,16A,9A,A,,,
Danuta Jabłonowska ,16A,10A,F,,,
Danuta Jabłonowska ,16A,11A,M,,,
Danuta Jabłonowska ,16A,12A,,,"przeszkadza mi to, że trudno mi znaleźć prace mimo to, że mam wyższe wykształcenie. Boli mnie to, że leprze oferty dostają Ukraińcy ",
Danuta Jabłonowska ,16A,13A,A,,,
Danuta Jabłonowska ,16A,14A,,,nie znalazłam stałej i odpowiedniej pracy ,
Danuta Jabłonowska ,16A,15A,A,,NEGATYWNA,
Danuta Jabłonowska ,16A,15A,B,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,15A,C,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,15A,D,,POZYTYWNA,
Danuta Jabłonowska ,16A,15A,E,,TRUDNO POWIEDZIEĆ,
Danuta Jabłonowska ,16A,15A,F,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,15A,G,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,15A,H,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,15A,I,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,15A,J,,POZYTYWNA,
Danuta Jabłonowska ,16A,15A,K,,POZYTYWNA,
Danuta Jabłonowska ,16A,15A,L,,NIE KORZYSTAŁAM,
Danuta Jabłonowska ,16A,16A,,,znalezienie stałej pracy ,
Danuta Jabłonowska ,16A,17A,D,,,
Danuta Jabłonowska ,16A,18A,A,,,
Danuta Jabłonowska ,16A,19A,F,,,
Danuta Jabłonowska ,16A,20A,,,"aby instytucje bardziej zwracały uwagę na człowieka nie tylko wyłącznie na przepisy i dokumenty, bo przez to bardziej wydłuża się czas oczekiwania na pomoc i wiele osób tego nie wytrzymuje psychicznie. ",
,,,,,,
,,,,,,
Imię i nazwisko osoby wprowadzającej dane:,,,Danuta Jabłonowska ,,,
